Iteration,Idle,Idle percent,Eat,Eat percent,Attack,Attack percent,Move,Move percent,Mating On,Mate On percent,Mating Off,Mate Off percent,
0,16,0.170213,31,0.329787,3,0.031915,23,0.244681,7,0.074468,14,0.148936,
1,20,0.200000,30,0.300000,4,0.040000,25,0.250000,6,0.060000,15,0.150000,
2,23,0.232323,30,0.303030,4,0.040404,25,0.252525,4,0.040404,13,0.131313,
3,14,0.166667,34,0.404762,4,0.047619,16,0.190476,5,0.059524,11,0.130952,
4,11,0.159420,30,0.434783,1,0.014493,15,0.217391,2,0.028986,10,0.144928,
5,10,0.149254,30,0.447761,2,0.029851,12,0.179104,1,0.014925,12,0.179104,
6,9,0.152542,30,0.508475,1,0.016949,10,0.169492,2,0.033898,7,0.118644,
7,7,0.125000,28,0.500000,1,0.017857,8,0.142857,3,0.053571,9,0.160714,
8,4,0.090909,26,0.590909,1,0.022727,5,0.113636,2,0.045455,6,0.136364,
9,5,0.116279,24,0.558140,1,0.023256,5,0.116279,2,0.046512,6,0.139535,
10,4,0.095238,24,0.571429,1,0.023810,4,0.095238,2,0.047619,7,0.166667,
11,2,0.051282,24,0.615385,1,0.025641,3,0.076923,1,0.025641,8,0.205128,
12,0,0.000000,24,0.774194,0,0.000000,1,0.032258,0,0.000000,6,0.193548,
13,0,0.000000,24,0.774194,0,0.000000,1,0.032258,0,0.000000,6,0.193548,
14,1,0.033333,22,0.733333,0,0.000000,2,0.066667,0,0.000000,5,0.166667,
15,0,0.000000,23,0.766667,0,0.000000,2,0.066667,0,0.000000,5,0.166667,
16,1,0.034483,22,0.758621,0,0.000000,2,0.068966,0,0.000000,4,0.137931,
17,2,0.071429,20,0.714286,0,0.000000,2,0.071429,0,0.000000,4,0.142857,
18,0,0.000000,21,0.807692,0,0.000000,1,0.038462,0,0.000000,4,0.153846,
19,0,0.000000,21,0.807692,0,0.000000,1,0.038462,0,0.000000,4,0.153846,
20,1,0.038462,20,0.769231,0,0.000000,1,0.038462,0,0.000000,4,0.153846,
21,0,0.000000,21,0.913043,0,0.000000,0,0.000000,0,0.000000,2,0.086957,
22,0,0.000000,21,0.913043,0,0.000000,0,0.000000,0,0.000000,2,0.086957,
23,2,0.090909,17,0.772727,0,0.000000,0,0.000000,0,0.000000,3,0.136364,
24,2,0.095238,18,0.857143,0,0.000000,0,0.000000,0,0.000000,1,0.047619,
25,2,0.100000,18,0.900000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
26,2,0.100000,18,0.900000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
27,2,0.100000,16,0.800000,0,0.000000,0,0.000000,1,0.050000,1,0.050000,
28,2,0.100000,16,0.800000,0,0.000000,0,0.000000,1,0.050000,1,0.050000,
29,2,0.105263,16,0.842105,0,0.000000,0,0.000000,1,0.052632,0,0.000000,
30,1,0.058824,16,0.941176,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
31,1,0.058824,16,0.941176,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
32,1,0.062500,15,0.937500,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
33,1,0.066667,13,0.866667,0,0.000000,0,0.000000,0,0.000000,1,0.066667,
34,1,0.076923,10,0.769231,0,0.000000,1,0.076923,0,0.000000,1,0.076923,
35,2,0.153846,9,0.692308,0,0.000000,0,0.000000,1,0.076923,1,0.076923,
36,2,0.166667,9,0.750000,0,0.000000,0,0.000000,1,0.083333,0,0.000000,
37,1,0.090909,9,0.818182,0,0.000000,0,0.000000,1,0.090909,0,0.000000,
38,1,0.090909,9,0.818182,0,0.000000,0,0.000000,1,0.090909,0,0.000000,
39,1,0.090909,9,0.818182,0,0.000000,0,0.000000,1,0.090909,0,0.000000,
40,0,0.000000,8,0.800000,0,0.000000,1,0.100000,1,0.100000,0,0.000000,
41,0,0.000000,10,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
42,0,0.000000,10,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
43,0,0.000000,9,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
44,0,0.000000,7,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
45,0,0.000000,7,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
46,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
47,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
48,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
49,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
50,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
51,0,0.000000,6,0.857143,0,0.000000,1,0.142857,0,0.000000,0,0.000000,
52,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
53,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
54,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
55,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
56,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
57,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
58,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
59,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
60,0,0.000000,6,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
61,0,0.000000,5,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
62,0,0.000000,4,0.800000,0,0.000000,0,0.000000,1,0.200000,0,0.000000,
63,0,0.000000,4,0.800000,0,0.000000,0,0.000000,1,0.200000,0,0.000000,
64,0,0.000000,4,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
65,0,0.000000,4,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
66,0,0.000000,4,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
67,0,0.000000,4,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
68,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
69,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
70,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
71,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
72,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
73,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
74,0,0.000000,3,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
75,0,0.000000,1,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
76,0,0.000000,1,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,
77,0,-nan(ind),0,-nan(ind),0,-nan(ind),0,-nan(ind),0,-nan(ind),0,-nan(ind),
